rank,name,team,opponent,game,pitcher,odds,book,final_hr_score,decision_tier,confidence,consensus_score,consensus_label,agreement_count,disagreement_count,model_score_avg,model_score_min,model_score_max,model_score_range,volatility,model_probability_est,market_implied_probability,market_edge_points,value_score,sharp_flag,nuke_flag,core_flag,value_flag,ladder_flag,stealth_flag,all_flags,master_score,matchup_score,split_score,per_pitch_score,primary_pitch_match,primary_pitch_usage_pct,signal_flags,note
1,James Wood,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,362,DraftKings,89,SLIP LAB ELITE,HIGH,83,STRONG CONSENSUS,4,0,82.2,74.1,88.4,14.3,LOW,13.7,21.6,-7.9,32.3,NO,YES,YES,NO,NO,NO,NUKE_FLAG|CORE_FLAG,88.4,74.1,83.2,83,Sinker,24.4,MASTER|MATCHUP|SPLITS|PITCH|CONTACT,All model layers agree
2,Luke Raley,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,474,DraftKings,80.6,STRONG PLAY,HIGH,78.8,GOOD CONSENSUS,4,0,77.8,72.3,85.2,12.9,LOW,12.6,17.4,-4.8,47.6,NO,NO,NO,YES,NO,NO,VALUE_FLAG,85.2,72.3,79.9,73.6,Cutter,21.8,MASTER|MATCHUP|SPLITS|CONTACT,All model layers agree
3,Willson Contreras,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,490,FanDuel,80.2,STRONG PLAY,HIGH,78.5,GOOD CONSENSUS,4,0,77.5,70.4,83.4,13,LOW,12.6,16.9,-4.3,49.1,NO,NO,NO,YES,NO,NO,VALUE_FLAG,83.4,70.4,79.2,76.8,Slider,17,MASTER|SPLITS|CONTACT,All model layers agree
4,Shea Langeliers,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,240,BetMGM,80.7,STRONG PLAY,HIGH,72.2,GOOD CONSENSUS,3,0,78,69.4,84.4,15,LOW,12.6,29.4,-16.8,5.6,NO,NO,NO,NO,NO,NO,,84.4,69.4,76.8,81.4,4-Seam Fastball,32.4,MASTER|SPLITS|PITCH,Three layer agreement
5,Nick Kurtz,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,333,BetMGM,79.8,STRONG PLAY,HIGH,72.2,GOOD CONSENSUS,3,0,77.1,69.9,82.8,12.9,LOW,12.5,23.1,-10.6,24.2,NO,NO,NO,NO,NO,NO,,82.8,69.9,74.8,80.7,4-Seam Fastball,32.4,MASTER|PITCH|CONTACT,Three layer agreement
6,Oneil Cruz,Pittsburgh Pirates,Colorado Rockies,Colorado Rockies @ Pittsburgh Pirates,Jose Quintana,400,BetMGM,76.1,STRONG PLAY,MEDIUM,70.8,MIXED LEAN,3,0,75.1,68.2,79.2,11,LOW,12,20,-8,32,NO,NO,NO,NO,NO,NO,,78.7,68.2,74.4,79.2,4-Seam Fastball,28.2,PITCH|CONTACT,Three layer agreement
7,Ian Happ,Chicago Cubs,Atlanta Braves,Chicago Cubs @ Atlanta Braves,JR Ritchie,430,DraftKings,75.8,PLAYABLE,MEDIUM,70.7,MIXED LEAN,3,0,75.2,68.2,79.3,11.1,LOW,12,18.9,-6.9,35.3,NO,NO,NO,NO,NO,NO,,79.3,68.2,78,75.1,Curveball,25.7,SPLITS,Three layer agreement
8,Kazuma Okamoto,Toronto Blue Jays,Tampa Bay Rays,Tampa Bay Rays @ Toronto Blue Jays,Griffin Jax,398,DraftKings,76.1,STRONG PLAY,MEDIUM,70.5,MIXED LEAN,3,0,75.1,67.9,79.8,11.9,LOW,12,20.1,-8.1,31.7,NO,NO,NO,NO,NO,NO,,79.8,67.9,73.8,78.7,4-Seam Fastball,30.4,PITCH,Three layer agreement
9,JJ Bleday,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,390,FanDuel,78.9,STRONG PLAY,MEDIUM,70.3,MIXED LEAN,3,0,76,65.9,82.1,16.2,LOW,12.4,20.4,-8,32,NO,NO,NO,NO,NO,NO,,82.1,65.9,75.3,80.7,4-Seam Fastball,23.4,MASTER|SPLITS|PITCH|CONTACT,Three layer agreement
10,Wilyer Abreu,Boston Red Sox,Philadelphia Phillies,Philadelphia Phillies @ Boston Red Sox,Andrew Painter,490,FanDuel,75.6,VALUE BOMB,MEDIUM,69.9,MIXED LEAN,3,0,75.1,66.6,79.7,13.1,LOW,12,16.9,-4.9,47.3,NO,NO,NO,YES,NO,NO,VALUE_FLAG,79.7,66.6,76,78.2,4-Seam Fastball,39.2,SPLITS|PITCH,Three layer agreement
11,Brent Rooker,Athletics,St. Louis Cardinals,St. Louis Cardinals @ Athletics,Matthew Liberatore,310,BetMGM,74.8,PLAYABLE,MEDIUM,69.3,MIXED LEAN,3,0,73.5,65.9,78.2,12.3,LOW,11.9,24.4,-12.5,18.5,NO,NO,NO,NO,NO,NO,,78.2,65.9,71.9,77.8,4-Seam Fastball,32.4,,Three layer agreement
12,Corey Seager,Texas Rangers,Arizona Diamondbacks,Arizona Diamondbacks @ Texas Rangers,Ryne Nelson,441,DraftKings,75.7,PLAYABLE,MEDIUM,69.2,MIXED LEAN,3,0,75,65.9,81,15.1,LOW,12,18.5,-6.5,36.5,NO,NO,NO,NO,NO,NO,,78.2,65.9,74.7,81,4-Seam Fastball,61,PITCH,Three layer agreement
13,Kyle Stowers,Miami Marlins,Minnesota Twins,Miami Marlins @ Minnesota Twins,Simeon Woods Richardson,400,BetMGM,73.4,PLAYABLE,MEDIUM,68.6,MIXED LEAN,3,0,71.8,67.1,77.9,10.8,LOW,11.7,20,-8.3,31.1,NO,NO,NO,NO,NO,NO,,77.9,67.1,71.8,70.2,Splitter,28.5,,Three layer agreement
14,Juan Soto,New York Mets,Detroit Tigers,Detroit Tigers @ New York Mets,Framber Valdez,470,FanDuel,74.3,VALUE BOMB,MEDIUM,68,MIXED LEAN,3,0,73.3,64.6,79.7,15.1,LOW,11.8,17.5,-5.7,44.9,NO,NO,NO,YES,NO,NO,VALUE_FLAG,77.5,64.6,71.2,79.7,Sinker,39.9,PITCH|CONTACT,Three layer agreement
15,Sal Stewart,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,369,DraftKings,74.9,PLAYABLE,MEDIUM,67.8,MIXED LEAN,3,0,73.4,64.8,81.2,16.4,LOW,11.9,21.3,-9.4,27.8,NO,NO,NO,NO,NO,NO,,81.2,64.8,70.3,77.1,Sinker,28.4,MASTER,Three layer agreement
16,Elly De La Cruz,Cincinnati Reds,Washington Nationals,Washington Nationals @ Cincinnati Reds,Jake Irvin,310,BetMGM,74.7,PLAYABLE,MEDIUM,67.7,MIXED LEAN,3,0,73.2,64.5,80.8,16.3,LOW,11.9,24.4,-12.5,18.5,NO,NO,NO,NO,NO,NO,,80.8,64.5,70.9,76.5,Sinker,28.4,MASTER,Three layer agreement
17,Kyle Schwarber,Philadelphia Phillies,Boston Red Sox,Philadelphia Phillies @ Boston Red Sox,Sonny Gray,250,BetMGM,74.7,PLAYABLE,MEDIUM,67.7,MIXED LEAN,3,0,73.3,63.5,80,16.5,LOW,11.9,28.6,-16.7,5.9,NO,NO,NO,NO,NO,NO,,76.7,63.5,72.8,80,Cutter,30,PITCH|CONTACT,Three layer agreement
18,CJ Abrams,Washington Nationals,Cincinnati Reds,Washington Nationals @ Cincinnati Reds,Nick Lodolo,543,DraftKings,73.8,VALUE BOMB,MEDIUM,66.9,MIXED LEAN,3,0,72.8,63.7,81.1,17.4,LOW,11.7,15.6,-3.9,50.3,NO,NO,NO,YES,NO,NO,VALUE_FLAG,81.1,63.7,73.4,72.9,Sinker,24.4,MASTER,Three layer agreement
19,Dominic Canzone,Seattle Mariners,Houston Astros,Seattle Mariners @ Houston Astros,Lance McCullers Jr.,529,DraftKings,72.2,VALUE BOMB,LOW,62.2,WATCHLIST,2,0,73.2,68.2,80.8,12.6,LOW,11.5,15.9,-4.4,42.8,NO,NO,NO,YES,NO,NO,VALUE_FLAG,80.8,68.2,74.6,69.3,Sinker,20.3,MASTER,Two layer lean
20,Munetaka Murakami,Chicago White Sox,Kansas City Royals,Kansas City Royals @ Chicago White Sox,Seth Lugo,293,DraftKings,72.2,PLAYABLE,MEDIUM,61.4,WATCHLIST,2,0,72.3,64.9,78.5,13.6,LOW,11.5,25.4,-13.9,8.3,NO,NO,NO,NO,NO,NO,,77,64.9,68.9,78.5,Curveball,14.9,PITCH|CONTACT,Two layer lean
